"ticker","company_name","sector","industry","market_cap_category"
"KOTHARIPRO.NS","Kothari Products Limited","Other","Other","Other"
"KOTIC.NS","Kothari Industrial Corporation Limited","Other","Other","Other"
"KOTYARK.NS","Kotyark Industries Limited","Other","Other","Other"
"KOVAI.NS","Kovai Medical Center & Hospital Limited","Other","Other","Other"
"KPEL.NS","K.P. Energy Limited","Other","Other","Other"
"KPIGREEN.NS","KPI Green Energy Limited","Other","Other","Other"
"KPIL.NS","Kalpataru Projects International Limited","Industrials","Construction","Small Cap"
"KPITTECH.NS","KPIT Technologies Limited","Technology","Information Technology","Mid Cap"
"KPL.NS","Kwality Pharmaceuticals Limited","Other","Other","Other"
"KPRMILL.NS","K.P.R. Mill Limited","Consumer Cyclical","Textiles","Mid Cap"
"KRBL.NS","KRBL Limited","Other","Other","Other"
"KREBSBIO.NS","Krebs Biochemicals and Industries Limited","Other","Other","Other"
"KRISHANA.NS","Krishana Phoschem Limited","Other","Other","Other"
"KRISHIVAL.NS","Krishival Foods Limited","Other","Other","Other"
"KRISHNADEF.NS","Krishna Defence And Allied Industries Limited","Other","Other","Other"
"KRITIKA.NS","Kritika Wires Limited","Other","Other","Other"
"KRONOX.NS","Kronox Lab Sciences Limited","Other","Other","Other"
"KROSS.NS","Kross Limited","Other","Other","Other"
"KRSNAA.NS","Krsnaa Diagnostics Limited","Other","Other","Other"
"KRYSTAL.NS","Krystal Integrated Services Limited","Other","Other","Other"
"KSB.NS","Ksb Limited","Other","Other","Other"
"KSCL.NS","Kaveri Seed Company Limited","Other","Other","Other"
"KSHINTL.NS","KSH International Limited","Other","Other","Other"
"KSL.NS","Kalyani Steels Limited","Other","Other","Other"
"KSOLVES.NS","Ksolves India Limited","Other","Other","Other"
"KTKBANK.NS","The Karnataka Bank Limited","Other","Other","Other"
"KUANTUM.NS","Kuantum Papers Limited","Other","Other","Other"
"KWIL.NS","Kwality Wall's (India) Limited","Other","Other","Other"
"LAGNAM.NS","Lagnam Spintex Limited","Other","Other","Other"
"LAHOTIOV.NS","Lahoti Overseas Limited","Other","Other","Other"
"LAL.NS","Lorenzini Apparels Limited","Other","Other","Other"
"LALPATHLAB.NS","Dr. Lal Path Labs Ltd.","Healthcare","Healthcare","Small Cap"
"LAMBODHARA.NS","Lambodhara Textiles Limited","Other","Other","Other"
"LANCORHOL.NS","Lancor Holdings Limited","Other","Other","Other"
"LANDMARK.NS","Landmark Cars Limited","Other","Other","Other"
"LANDSMILL.NS","Landsmill Green Limited","Other","Other","Other"
"LAOPALA.NS","La Opala RG Limited","Other","Other","Other"
"LASA.NS","Lasa Supergenerics Limited","Other","Other","Other"
"LATENTVIEW.NS","Latent View Analytics Limited","Technology","Information Technology","Small Cap"
"LAURUSLABS.NS","Laurus Labs Limited","Healthcare","Healthcare","Mid Cap"
"LAXMICOT.NS","Laxmi Cotspin Limited","Other","Other","Other"
"LAXMIDENTL.NS","Laxmi Dental Limited","Other","Other","Other"
"LCCINFOTEC.NS","LCC Infotech Limited","Other","Other","Other"
"LEMERITE.NS","Le Merite Exports Limited","Other","Other","Other"
"LEMONTREE.NS","Lemon Tree Hotels Limited","Consumer Cyclical","Consumer Services","Small Cap"
"LENSKART.NS","Lenskart Solutions Limited","Consumer Cyclical","Consumer Services","Mid Cap"
"LEXUS.NS","Lexus Granito (India) Limited","Other","Other","Other"
"LFIC.NS","Lakshmi Finance & Industrial Corporation Limited","Other","Other","Other"
"LGBBROSLTD.NS","LG Balakrishnan & Bros Limited","Other","Other","Other"
"LGEINDIA.NS","LG Electronics India Limited","Consumer Cyclical","Consumer Durables","Mid Cap"
"LGHL.NS","Laxmi Goldorna House Limited","Other","Other","Other"
"LIBAS.NS","Libas Consumer Products Limited","Other","Other","Other"
"LIBERTSHOE.NS","Liberty Shoes Limited","Other","Other","Other"
"LICHSGFIN.NS","LIC Housing Finance Limited","Financial Services","Financial Services","Mid Cap"
"LICI.NS","Life Insurance Corporation Of India","Financial Services","Financial Services","Mid Cap"
"LINC.NS","Linc Limited","Other","Other","Other"
"LINCOLN.NS","Lincoln Pharmaceuticals Limited","Other","Other","Other"
"LINDEINDIA.NS","Linde India Limited","Materials","Chemicals","Mid Cap"
"LLOYDSENGG.NS","LLOYDS ENGINEERING WORKS LIMITED","Other","Other","Other"
"LLOYDSENT.NS","Lloyds Enterprises Limited","Other","Other","Other"
"LLOYDSME.NS","Lloyds Metals And Energy Limited","Materials","Metals & Mining","Mid Cap"
"LMW.NS","LMW Limited","Other","Other","Other"
"LODHA.NS","Lodha Developers Limited","Real Estate","Realty","Large Cap"
"LORDSCHLO.NS","Lords Chloro Alkali Limited","Other","Other","Other"
"LOTUSDEV.NS","Sri Lotus Developers and Realty Limited","Other","Other","Other"
"LOTUSEYE.NS","Lotus Eye Hospital and Institute Limited","Other","Other","Other"
"LOVABLE.NS","Lovable Lingerie Limited","Other","Other","Other"
"LPDC.NS","Landmark Property Development Company Limited","Other","Other","Other"
"LT.NS","Larsen & Toubro Limited","Industrials","Construction","Large Cap"
"LTF.NS","L&T Finance Limited","Financial Services","Financial Services","Mid Cap"
"LTFOODS.NS","LT Foods Limited","Consumer Defensive","Fast Moving Consumer Goods","Small Cap"
"LTM.NS","LTM Limited","Technology","Information Technology","Large Cap"
"LTTS.NS","L&T Technology Services Limited","Technology","Information Technology","Mid Cap"
"LUMAXIND.NS","Lumax Industries Limited","Other","Other","Other"
"LUMAXTECH.NS","Lumax Auto Technologies Limited","Other","Other","Other"
"LUPIN.NS","Lupin Limited","Healthcare","Healthcare","Mid Cap"
"LUXIND.NS","Lux Industries Limited","Other","Other","Other"
"LXCHEM.NS","Laxmi Organic Industries Limited","Other","Other","Other"
"LYKALABS.NS","Lyka Labs Limited","Other","Other","Other"
"LYPSAGEMS.NS","Lypsa Gems & Jewellery Limited","Other","Other","Other"
"M&M.NS","Mahindra & Mahindra Limited","Consumer Cyclical","Automobile and Auto Components","Large Cap"
"M&MFIN.NS","Mahindra & Mahindra Financial Services Limited","Financial Services","Financial Services","Mid Cap"
"MAANALU.NS","Maan Aluminium Limited","Other","Other","Other"
"MACPOWER.NS","Macpower CNC Machines Limited","Other","Other","Other"
"MADHAV.NS","Madhav Marbles and Granites Limited","Other","Other","Other"
"MADHAVIPL.NS","Madhav Infra Projects Limited","Other","Other","Other"
"MADHUCON.NS","Madhucon Projects Limited","Other","Other","Other"
"MADRASFERT.NS","Madras Fertilizers Limited","Other","Other","Other"
"MAFATIND.NS","Mafatlal Industries Limited","Other","Other","Other"
"MAGADSUGAR.NS","Magadh Sugar & Energy Limited","Other","Other","Other"
"MAGNUM.NS","Magnum Ventures Limited","Other","Other","Other"
"MAHABANK.NS","Bank of Maharashtra","Financial Services","Financial Services","Mid Cap"
"MAHAPEXLTD.NS","Maha Rashtra Apex Corporation Limited","Other","Other","Other"
"MAHEPC.NS","Mahindra EPC Irrigation Limited","Other","Other","Other"
"MAHLIFE.NS","Mahindra Lifespace Developers Limited","Other","Other","Other"
"MAHLOG.NS","Mahindra Logistics Limited","Other","Other","Other"
"MAHSCOOTER.NS","Maharashtra Scooters Limited","Other","Other","Other"
"MAHSEAMLES.NS","Maharashtra Seamless Limited","Other","Other","Other"
"MAITHANALL.NS","Maithan Alloys Limited","Other","Other","Other"
"MAJESAUT.NS","Majestic Auto Limited","Other","Other","Other"
"MALLCOM.NS","Mallcom (India) Limited","Other","Other","Other"
"MALUPAPER.NS","Malu Paper Mills Limited","Other","Other","Other"
"MAMATA.NS","Mamata Machinery Limited","Other","Other","Other"
"MANAKALUCO.NS","Manaksia Aluminium Company Limited","Other","Other","Other"
"MANAKCOAT.NS","Manaksia Coated Metals & Industries Limited","Other","Other","Other"
"MANAKSIA.NS","Manaksia Limited","Other","Other","Other"
"MANALIPETC.NS","Manali Petrochemicals Limited","Other","Other","Other"
"MANAPPURAM.NS","Manappuram Finance Limited","Financial Services","Financial Services","Small Cap"
"MANBA.NS","Manba Finance Limited","Other","Other","Other"
"MANCREDIT.NS","Mangal Credit and Fincorp Limited","Other","Other","Other"
"MANGALAM.NS","Mangalam Drugs And Organics Limited","Other","Other","Other"
"MANGLMCEM.NS","Mangalam Cement Limited","Other","Other","Other"
"MANINDS.NS","Man Industries (India) Limited","Other","Other","Other"
"MANINFRA.NS","Man Infraconstruction Limited","Other","Other","Other"
"MANKIND.NS","Mankind Pharma Limited","Healthcare","Healthcare","Mid Cap"
